baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene
65126.04275136768	2.9547548561572303	0.14478134791417363	20.40839444255491	1.4083549635791098e-92	3.2251328665961614e-90	ENSG00000160191
19980.198935609988	3.2916185251801773	0.17278104141759318	19.050808457767594	6.469530838691747e-81	7.407612810302051e-79	ENSG00000154734
9238.95132735747	2.742995292232039	0.1803022911385903	15.213313568620276	2.8855995660106594e-52	2.2026743353881366e-50	ENSG00000183145
5642.8171475971	2.945407872597381	0.2040564722091951	14.434278122664988	3.1492564376676977e-47	1.802949310564757e-45	ENSG00000142168
11082.019880164356	3.147214328254942	0.21884173101021542	14.38123484824762	6.787263834343646e-47	3.1085668361293893e-45	ENSG00000276289
9473.00849631603	3.236980421677027	0.2415255585530882	13.402227246958326	5.867549510275865e-41	2.2394480630886217e-39	ENSG00000154723
25615.818224620794	2.5709230621043613	0.22185916808661646	11.588085740502923	4.735988030830345e-31	1.549344655800213e-29	ENSG00000180509
33652.83594474322	3.0173316271490864	0.2680399871151339	11.257020490204031	2.1386777600096722e-29	6.121965088027687e-28	ENSG00000156299
2370.005119430608	1.6214987777486845	0.32033864622093317	5.0618269037397345	4.1525796427360784e-7	1.056600820207291e-5	ENSG00000275993
9041.900407988149	2.5777507065550935	0.567983043344647	4.538428984385961	5.6674875447879e-6	1.297854647756429e-4	ENSG00000142178
291.103118991457	-1.2962662525740254	0.3269295708867254	-3.964970954013688	7.340488489043049e-5	0.0015281562399916892	ENSG00000222018
438.56964185540846	-1.2148000299517765	0.3172236035040556	-3.8294755388094748	1.2841664637410787e-4	0.0024506176683058915	ENSG00000215455
1445.4240773152626	-0.6320783555518119	0.2060114937380172	-3.0681703437169374	0.002153738098232323	0.037938924961169386	ENSG00000166351
659.9509636684566	1.0016731008400686	0.3477568330643255	2.8803836635318865	0.003971915060681834	0.06496918206401	ENSG00000156284
3338.677990416364	0.45597191838919954	0.17203592070556972	2.650446002899424	0.008038557572371813	0.12272197893820969	ENSG00000157557
7386.280834273797	0.40149149968532255	0.16034225829443852	2.503965604301635	0.012280997259750069	0.17577177328017285	ENSG00000160183
6913.604326190795	-0.5790274108431587	0.2605954847874236	-2.2219395371162727	0.02628739199680143	0.33516395502454643	ENSG00000171587
4442.934882891239	0.37352295447350703	0.16823074767559043	2.2203013398822553	0.026398319044209032	0.33516395502454643	ENSG00000154721
8145.329500555621	-0.3974903175908156	0.1831541662173802	-2.1702499364335845	0.02998791696733195	0.33516395502454643	ENSG00000205581
1388.3625434504131	-0.5230816988623714	0.24177106291372108	-2.1635413790154012	0.03049956471646082	0.33516395502454643	ENSG00000205929
494.73066591289955	0.5523144198663612	0.2556443547589763	2.1604796256388608	0.030735559194390718	0.33516395502454643	ENSG00000276612
1277.5443833916192	-0.5353362215010175	0.26199265333807936	-2.043325317256936	0.0410202450006262	0.41432155736482185	ENSG00000160284
8129.649078361677	0.3838330064002848	0.18839641434097668	2.037368958124593	0.041613082180746296	0.41432155736482185	ENSG00000157542
434.91074714233775	0.7361962005490444	0.39723988982712505	1.853278634402577	0.06384243190443904	0.6023195322928262	ENSG00000221859
3054.3796752793232	-0.37886633845548173	0.2058958391432922	-1.8400873958011923	0.06575540745554871	0.6023195322928262	ENSG00000142149
15735.143783175225	1.7886524161333033	0.9902909039289517	1.8061888774670902	0.07088884168196738	0.6059206302978245	ENSG00000141959
26599.05588059298	-0.30795528499062014	0.17083308886324286	-1.802667662569444	0.07144042365956883	0.6059206302978245	ENSG00000182670
8367.014882397842	-0.36506615927635566	0.20749414835363017	-1.7594046009151887	0.07850881101702738	0.6420899186749739	ENSG00000160285
2285.0136170041346	-0.5260336464218115	0.30695259534604297	-1.713729267637524	0.08657845910134666	0.6836712804899443	ENSG00000249624
4062.0508660517085	-0.27162879893447966	0.16573756612919838	-1.638909061345424	0.10123220029471655	0.7279067618750068	ENSG00000160226
5359.613309776381	-0.42724144286243637	0.26377949709234827	-1.6196916271807913	0.10529853568469044	0.7279067618750068	ENSG00000184012
151.75423151725934	0.7925794026723648	0.4975906339928283	1.592834246722956	0.11119738017810193	0.7279067618750068	ENSG00000244025
5682.596802536681	-0.27056954586998944	0.1698812249187393	-1.5926983455612191	0.11122787888485157	0.7279067618750068	ENSG00000166979
8754.601218881056	-0.25907694901935346	0.16451276662889644	-1.5748136410821685	0.11529946680054828	0.7279067618750068	ENSG00000173276
4384.3867593546975	-0.39355735749936316	0.2518146747513602	-1.5628849187918001	0.11807966552670543	0.7279067618750068	ENSG00000156239
8136.888815117019	-0.2390436953321516	0.15387780313264865	-1.553464440391618	0.12031221821518222	0.7279067618750068	ENSG00000186866
7779.977780332018	0.27163753974390686	0.1765066226936519	1.5389651424885396	0.1238128062590915	0.7279067618750068	ENSG00000160201
294.41633889502236	-0.5465498540069835	0.3566323284025699	-1.532530313376506	0.12539162310362192	0.7279067618750068	ENSG00000159197
1102.0437447059103	-0.4352795765957304	0.2873031649501459	-1.515053190142413	0.12975893460191915	0.7279067618750068	ENSG00000285815
3709.66710567137	0.27233303944405435	0.1797717862630864	1.51488197956441	0.1298022946951184	0.7279067618750068	ENSG00000142188
3351.3063218422244	-0.2951685248865367	0.19743501511099593	-1.4950160928678027	0.13491024224404782	0.7279067618750068	ENSG00000243646
9859.354710900421	0.2746338040705331	0.18396314441842487	1.492874047890144	0.13547015960044256	0.7279067618750068	ENSG00000182871
803.4131612238658	0.342433945519156	0.23012965614310685	1.4880044200223042	0.13674972798322127	0.7279067618750068	ENSG00000183036
